74,128,256,512,1024,1280,1518,-,.,74,"128,","256,",512,1024,1280,1518,-,-,74,128,256,512,1024,1280,1518,-,-,74,128,256,512,1024,1280,1518,-,-,74,128,256,512,1024,1280,1518
16963.0,17302.0,17465.0,17654.0,16765.0,14876.0,16259.0,,,16539.0,16272.0,16761.0,10587.0,17302.0,10248.0,18502,,,17204.0,17491.0,16408.0,18638.0,10007.0,18302,18502,,,16539,16910.0,17934.0,18521.0,18703.0,19988.0,18502,,,14564.0,18625.0,18905.0,19433.0,20476.0,18302,18502
4576.0,4706.0,5143.0,5528.0,6297.0,5671.0,7138.0,,,4596.0,5156.0,6010.0,10867.0,6356.0,17738.0,9113.0,,,4726.0,4641.0,5150.0,5815.0,18149.0,8559,9113.0,,,6512,5026.0,5736.0,5984.0,6434.0,8892,8892,,,5547.0,5300.0,5769.0,5880.0,6630.0,8559,8892
4589.0,4713.0,5319.0,5573.0,6310.0,5984.0,7197.0,,,5450.0,5176.0,6121.0,5789.0,6408.0,7229.0,9113.0,,,4739.0,5854.0,5163.0,6388.0,6734.0,8396,9113.0,,,7327,5313.0,6010.0,6343.0,6630.0,9113.0,9113.0,,,5587.0,5345.0,5776.0,6095.0,6636.0,8396,8396
4589.0,4726.0,5339.0,5600.0,6317.0,6134.0,7229.0,,,5495.0,5508.0,6212.0,6108.0,7223.0,7405.0,9113.0,,,5443.0,5860.0,5789.0,6414.0,6747.0,8455,9113.0,,,7171,5697.0,6088.0,6356.0,6708.0,8892,9113.0,,,5723.0,5352.0,5886.0,6141.0,6675.0,8455,8455
4615.0,4732.0,5469.0,5606.0,6323.0,6141.0,7236.0,,,5502.0,5521.0,6232.0,6662.0,7236.0,7503.0,9113.0,,,5502.0,5880.0,6115.0,6519.0,6773.0,8892,9113.0,,,7047,5697.0,6180.0,6441.0,7314.0,7536.0,9113.0,,,5912.0,5469.0,5932.0,6180.0,6819.0,8892,8892
4713.0,4739.0,5554.0,5613.0,6336.0,6349.0,7255.0,,,5534.0,5541.0,6291.0,6701.0,7249.0,7594.0,9113.0,,,5600.0,5932.0,6115.0,6545.0,6871.0,8514,9113.0,,,7770,5802.0,6180.0,6499.0,7327.0,8892,9113.0,,,6219.0,5502.0,5991.0,6284.0,7184.0,8514,8514
4765.0,4948.0,5899.0,5619.0,6414.0,6493.0,7308.0,,,5704.0,5678.0,6362.0,6740.0,7262.0,7607.0,9113.0,,,5606.0,5984.0,6134.0,6571.0,7164.0,8312,9113.0,,,7334,5906.0,6297.0,6499.0,7334.0,9113.0,9113.0,,,6388.0,5534.0,6062.0,6356.0,7203.0,8312,8312
4778.0,4954.0,5919.0,5632.0,6551.0,6597.0,7405.0,,,5776.0,5684.0,6375.0,6897.0,7301.0,7621.0,9113.0,,,5678.0,6030.0,6336.0,6577.0,7282.0,8129,9113.0,,,7040,5926.0,6317.0,6512.0,7334.0,8892,8129,,,6388.0,5541.0,6115.0,6512.0,7203.0,8129,9113.0
4824.0,4961.0,5926.0,5652.0,6584.0,6623.0,7471.0,,,5808.0,5789.0,6414.0,6936.0,7327.0,7640.0,9113.0,,,5997.0,6167.0,6427.0,6577.0,7321.0,8364,9113.0,,,9100,6023.0,6375.0,6545.0,7340.0,8892,9113.0,,,6414.0,5587.0,6121.0,6519.0,7223.0,8364,9113.0
4850.0,4987.0,5932.0,5658.0,6597.0,6695.0,7477.0,,,6004.0,5834.0,6441.0,6962.0,7386.0,7686.0,9113.0,,,6036.0,6271.0,6525.0,6584.0,7347.0,8836,9113.0,,,7216,6023.0,6427.0,6597.0,7386.0,8892,8936,,,6551.0,5645.0,6134.0,6538.0,7229.0,8836,9113.0
