-,64,1518,-,-,64,1518,-,-,64,1518,-,-,64,1518,-,-,64,1518,-,-,-,64,1518,-,-,64,1518,-,-,64,1518,-,-,64,1518,-,-,64,1518
,12947,16263,,,14564,11474,,,16956,17908,,,17875,18671,,,16552,17901,,,,29391,30441,,,28728,32470,,,21864,26041,,,23156,21381,,,22348,22632
,7171,8944,,,5912,8347,,,7438,8560,,,6030,9229,,,7373,9268,,,,15224,17174,,,18006,21153,,,17134,18479,,,13436,16596,,,18025,19907
,7757,8762,,,6943,8706,,,7138,9192,,,7431,9235,,,7021,8616,,,,16769,18719,,,15635,19171,,,15680,19679,,,16865,17997,,,16976,19816
,7444,8612,,,7040,8314,,,6780,10385,,,7581,8727,,,6995,9255,,,,18138,20088,,,18523,16354,,,19154,21021,,,15561,17365,,,15300,18825
,6799,7803,,,7197,8406,,,5978,9557,,,6232,8740,,,7373,9509,,,,17232,19182,,,15479,17026,,,17544,17964,,,13801,17163,,,13625,18160
,7112,8038,,,7282,8354,,,7366,8951,,,5678,8720,,,7138,9190,,,,15622,17572,,,16091,18532,,,17244,18329,,,18723,17274,,,19010,18493
,6851,9192,,,6969,8634,,,6877,9251,,,6773,8642,,,7431,8290,,,,16280,18230,,,16098,19986,,,16188,19261,,,17086,17045,,,18182,19327
,6558,8299,,,7412,8856,,,7249,9224,,,7510,8655,,,7119,9418,,,,17649,19599,,,17610,17274,,,15751,19646,,,17680,17137,,,18130,19092
,5424,7627,,,6975,8145,,,7601,9563,,,7073,9874,,,7066,9288,,,,16346,18296,,,16365,18251,,,16827,21048,,,17491,16882,,,16630,17332
,6916,9146,,,6995,8347,,,8220,9103,,,5854,9085,,,7184,9789,,,,18132,20082,,,17917,19034,,,16253,17697,,,17256,17032,,,16519,16869
,7242,9238,,,6623,8536,,,7203,8640,,,6929,8975,,,7386,8460,,,,16267,18217,,,16815,19588,,,15791,18309,,,15906,17111,,,16174,19621
,6864,8631,,,6962,8301,,,7184,8894,,,7021,8642,,,7255,9138,,,,17897,19847,,,18282,19770,,,14995,19268,,,14824,17104,,,15567,18128
,7751,8188,,,7066,8275,,,6721,9038,,,7836,9248,,,7034,8877,,,,15127,17077,,,14892,16993,,,15882,20793,,,16963,16889,,,14368,16485
,7444,9550,,,7334,8256,,,7105,9637,,,7660,9203,,,6864,9672,,,,17200,19150,,,16248,18010,,,18581,18349,,,16493,17495,,,15163,16217
,6845,8722,,,6414,8510,,,7444,8920,,,6995,9014,,,7438,8805,,,,18647,20597,,,14755,18799,,,17629,19053,,,15209,17508,,,14550,19353
,6962,8703,,,6858,8210,,,7614,8588,,,6949,8701,,,7901,8922,,,,16541,18491,,,16724,19601,,,16697,19913,,,14361,17776,,,14746,17789
,6962,8312,,,6780,8210,,,8579,10399,,,9192,9457,,,7666,10265,,,,19364,21314,,,17949,20096,,,15764,18492,,,15867,18069,,,14022,16622
,6766,7803,,,7458,8301,,,7347,8685,,,5697,8961,,,7014,8342,,,,17134,19084,,,15348,16172,,,14356,19398,,,14733,17600,,,16878,17580
,6688,8853,,,7171,8562,,,6441,9344,,,7184,8857,,,6656,9450,,,,18960,20910,,,17526,16798,,,13789,18433,,,13501,17795,,,15965,17450
,6819,9355,,,6688,8288,,,7373,8699,,,6643,9059,,,8227,9411,,,,16854,18804,,,15068,18682,,,17310,19613,,,16930,19288,,,15111,16035
,7223,7960,,,7490,9605,,,8103,9005,,,7047,9372,,,7673,9353,,,,14814,16764,,,17311,19992,,,16847,17201,,,16043,15670,,,15007,19842
,7079,9120,,,7223,9019,,,6884,8718,,,5639,9170,,,7229,9183,,,,17226,19176,,,14514,16654,,,16390,18825,,,16278,16263,,,16063,18943
,7614,8749,,,6962,9103,,,6812,8633,,,5873,8544,,,6936,8955,,,,17695,19645,,,14827,19008,,,17779,20207,,,15522,17013,,,15359,18225
,7386,8162,,,7177,8373,,,7418,9592,,,7066,9503,,,7444,9737,,,,15883,17833,,,18445,20435,,,18040,17612,,,15913,19060,,,14681,17763
,7797,9290,,,7829,9299,,,7314,8907,,,6923,9164,,,7151,9548,,,,14038,15988,,,16717,17573,,,17459,18896,,,14759,19699,,,14466,17156
,7079,8357,,,6388,8741,,,7164,7955,,,5678,8609,,,7190,8922,,,,17037,18987,,,15048,19053,,,17036,16106,,,17113,19203,,,16030,16869
,6838,8670,,,6721,8962,,,6584,8627,,,7001,8818,,,6330,9359,,,,16639,18589,,,17428,20429,,,16925,17931,,,16324,15742,,,15561,16843
,6486,8820,,,5547,8825,,,6701,8855,,,7523,8636,,,7112,8770,,,,15205,17155,,,16730,16993,,,16592,19639,,,16102,16022,,,15880,16472
,7105,9372,,,7588,8688,,,6662,8666,,,7040,10187,,,6903,9181,,,,18138,20088,,,14214,17991,,,16482,18016,,,14544,16843,,,15522,16087
,6727,9105,,,7314,8656,,,7555,8568,,,5932,9320,,,6897,8849,,,,16580,18530,,,17962,19627,,,17877,19561,,,16369,19203,,,18234,19673
,7092,7795,,,6910,8956,,,7164,8835,,,7184,9020,,,7581,8829,,,,18282,20232,,,16743,18956,,,19220,16921,,,16539,15683,,,14609,19679
,7158,8160,,,7282,9021,,,7210,8509,,,6877,9131,,,7353,8607,,,,16574,18524,,,14377,16504,,,15204,18759,,,16552,18701,,,14185,15761
,7607,8264,,,7053,8949,,,7171,8957,,,7379,8349,,,6858,8855,,,,15159,17109,,,17350,18121,,,16586,17755,,,17895,20801,,,13801,16068
,6766,6993,,,7444,8604,,,7027,8116,,,6245,8955,,,6623,8829,,,,18282,20232,,,15472,19797,,,16540,19672,,,13155,17326,,,14505,17932
,6812,8460,,,6851,8923,,,6597,9296,,,6884,9424,,,6982,8803,,,,14279,16229,,,14885,17339,,,17942,18023,,,12869,18180,,,14348,18323
,6943,8342,,,6949,9392,,,6890,9088,,,7008,8531,,,7555,8992,,,,17271,19221,,,17474,18780,,,14969,19978,,,18469,19236,,,16265,18238
,8012,7866,,,6975,8623,,,6545,8762,,,7190,9170,,,6923,8888,,,,16163,18113,,,15427,20305,,,15197,17651,,,14603,16159,,,16487,18564
,7738,8323,,,8044,8558,,,6923,8794,,,5606,9125,,,7060,9403,,,,15368,17318,,,18236,18258,,,16247,19900,,,15730,17254,,,15698,18284
,7066,7905,,,7255,8897,,,7112,9818,,,7138,9907,,,6936,10009,,,,16991,18941,,,16874,20514,,,18868,17377,,,16226,18708,,,16558,18538
,6982,7808,,,6747,8597,,,7738,9048,,,6740,9646,,,7790,8842,,,,15420,17370,,,17135,18597,,,16475,19672,,,17217,15885,,,17582,18695
,6532,8662,,,6388,9047,,,6056,8833,,,7099,8903,,,6897,9377,,,,19110,21060,,,15981,17580,,,16866,17808,,,16871,17306,,,15131,18864
,6903,8336,,,6551,8649,,,6982,8879,,,6812,8812,,,6747,9044,,,,17649,19599,,,19214,20044,,,17238,16112,,,14850,17554,,,15965,19881
,6512,8742,,,7484,8936,,,6225,8970,,,7894,9138,,,6630,9370,,,,18197,20147,,,18217,19464,,,19031,21334,,,14831,19203,,,16565,16765
,7536,8827,,,7607,8988,,,6877,8586,,,7132,8916,,,7353,9872,,,,16737,18687,,,16998,17560,,,16684,19346,,,17360,16139,,,14772,17078
,7418,8788,,,6969,8649,,,7627,9081,,,7027,8616,,,7744,9768,,,,15335,17285,,,16639,19947,,,19435,18127,,,13357,17587,,,15822,17671
